sample	samples	TP53 (average)
TCGA-A4-7732-01	TCGA-A4-7732-01	0.36510000000000004
TCGA-2G-AAGS-01	TCGA-2G-AAGS-01	0.36490000000000006
TCGA-N8-A4PL-01	TCGA-N8-A4PL-01	0.3643
TCGA-MO-A47R-01	TCGA-MO-A47R-01	0.3642
TCGA-B6-A1KC-01	TCGA-B6-A1KC-01	0.3625
TCGA-OR-A5JQ-01	TCGA-OR-A5JQ-01	0.3621
TCGA-IZ-8195-01	TCGA-IZ-8195-01	0.3618
TCGA-G7-A8LC-01	TCGA-G7-A8LC-01	0.361
TCGA-2Z-A9JS-01	TCGA-2Z-A9JS-01	0.3592
TCGA-5P-A9K0-01	TCGA-5P-A9K0-01	0.35849999999999993
TCGA-UZ-A9PP-01	TCGA-UZ-A9PP-01	0.3574
TCGA-A4-7286-01	TCGA-A4-7286-01	0.35600000000000004
TCGA-B9-4113-01	TCGA-B9-4113-01	0.3555
TCGA-BR-4357-01	TCGA-BR-4357-01	0.35359999999999997
TCGA-DX-A1L2-01	TCGA-DX-A1L2-01	0.3525
TCGA-X6-A7WC-01	TCGA-X6-A7WC-01	0.3524
TCGA-CC-A3M9-01	TCGA-CC-A3M9-01	0.3518
TCGA-13-1489-02	TCGA-13-1489-02	0.3509
TCGA-AR-A251-01	TCGA-AR-A251-01	0.3506
TCGA-B3-3926-01	TCGA-B3-3926-01	0.3505
TCGA-DK-AA6W-01	TCGA-DK-AA6W-01	0.349
TCGA-SX-A7SN-01	TCGA-SX-A7SN-01	0.3474999999999999
TCGA-2G-AAG5-01	TCGA-2G-AAG5-01	0.3464
TCGA-DW-7837-01	TCGA-DW-7837-01	0.3459
TCGA-Y8-A895-01	TCGA-Y8-A895-01	0.3454
TCGA-IA-A40U-01	TCGA-IA-A40U-01	0.3444
TCGA-F9-A7Q0-01	TCGA-F9-A7Q0-01	0.3442
TCGA-PJ-A5Z9-01	TCGA-PJ-A5Z9-01	0.3436
TCGA-04-1343-01	TCGA-04-1343-01	0.3435
TCGA-2Z-A9JR-01	TCGA-2Z-A9JR-01	0.3423
TCGA-EE-A29P-06	TCGA-EE-A29P-06	0.3423
TCGA-B9-4115-01	TCGA-B9-4115-01	0.3418
TCGA-A4-8630-01	TCGA-A4-8630-01	0.3415
TCGA-A4-8311-01	TCGA-A4-8311-01	0.3411
TCGA-Y8-A8RY-01	TCGA-Y8-A8RY-01	0.3408
TCGA-5P-A9K2-01	TCGA-5P-A9K2-01	0.34040000000000004
TCGA-AL-3471-01	TCGA-AL-3471-01	0.3400000000000001
TCGA-72-4234-01	TCGA-72-4234-01	0.34
TCGA-09-1670-01	TCGA-09-1670-01	0.33829999999999993
TCGA-B1-A47M-01	TCGA-B1-A47M-01	0.3377
TCGA-BG-A0M4-01	TCGA-BG-A0M4-01	0.3373
TCGA-WP-A9GB-01	TCGA-WP-A9GB-01	0.3372
TCGA-SX-A71U-01	TCGA-SX-A71U-01	0.3365
TCGA-OR-A5JD-01	TCGA-OR-A5JD-01	0.3358
TCGA-UZ-A9PX-01	TCGA-UZ-A9PX-01	0.3355
TCGA-CV-6962-01	TCGA-CV-6962-01	0.3354
TCGA-B9-A8YH-01	TCGA-B9-A8YH-01	0.3351
TCGA-UZ-A9PK-01	TCGA-UZ-A9PK-01	0.334
TCGA-YZ-A982-01	TCGA-YZ-A982-01	0.33370000000000005
TCGA-A4-8310-01	TCGA-A4-8310-01	0.3335000000000001
TCGA-A7-A3J0-01	TCGA-A7-A3J0-01	0.33179999999999993
TCGA-SX-A7SQ-01	TCGA-SX-A7SQ-01	0.33149999999999996
TCGA-UZ-A9PZ-01	TCGA-UZ-A9PZ-01	0.3311
TCGA-36-1580-01	TCGA-36-1580-01	0.33
TCGA-A7-A13D-01	TCGA-A7-A13D-01	0.3289000000000001
